pagecount_desktop_views,pagecount_mobile_views,pagecount_all_views,pageview_mobile_views,pageview_desktop_views,pageview_all_views,year,month
0,0,0,4089188522,3675652396,7764840918,2018,05
0,0,0,3977766741,3278649434,7256416175,2018,06
0,0,0,4266113752,3457051589,7723165341,2018,07
0,0,0,4187362161,3399130789,7586492950,2018,08
0,0,0,3977120244,3433832231,7410952475,2018,09
0,0,0,4073789753,3640606578,7714396331,2018,10
0,0,0,4033380040,3448616562,7481996602,2018,11
0,0,0,4289054166,3379686909,7668741075,2018,12
0,0,0,4597597181,3616017826,8213615007,2019,01
0,0,0,4018109995,3244921935,7263031930,2019,02
0,0,0,4407290322,3439386600,7846676922,2019,03
0,0,0,4261664166,3330234244,7591898410,2019,04
0,0,0,4413766230,3364959217,7778725447,2019,05
0,0,0,4285985271,2986618238,7272603509,2019,06
0,0,0,4557266440,3140657554,7697923994,2019,07
0,0,0,4531756543,2979881198,7511637741,2019,08
0,0,0,4437958209,3061362632,7499320841,2019,09
0,0,0,4506591862,3588403486,8094995348,2019,10
0,0,0,4471241664,3252465442,7723707106,2019,11
0,0,0,4554269292,3097051994,7651321286,2019,12
0,0,0,4832149630,3440480235,8272629865,2020,01
0,0,0,4418801212,3176520359,7595321571,2020,02
0,0,0,4686270555,3412498274,8098768829,2020,03
0,0,0,5505741941,3798372613,9304114554,2020,04
0,0,0,5231700095,3078093615,8309793710,2020,05
0,0,0,4573975256,2721328557,7295303813,2020,06
0,0,0,4809714465,2638936132,7448650597,2020,07
0,0,0,4803308661,2613058239,7416366900,2020,08
0,0,0,4492250780,2661783500,7154034280,2020,09
